Constituency,Mandal,Village,Contact Count
"Chilakaluripeta","Chilakaluripeta","BC cell Presideny",5
"Chilakaluripeta","Chilakaluripeta","BOPPUDI",3
"Chilakaluripeta","Chilakaluripeta","Bc Cell State Comity",15
"Chilakaluripeta","Chilakaluripeta","DANDAMUDI",3
"Chilakaluripeta","Chilakaluripeta","EDAVALLI",2
"Chilakaluripeta","Chilakaluripeta","GANGANNAPALEM",2
"Chilakaluripeta","Chilakaluripeta","GOPALAMVARIPALEM",3
"Chilakaluripeta","Chilakaluripeta","GOTTIPADU",2
"Chilakaluripeta","Chilakaluripeta","GOVINDAPURAM",2
"Chilakaluripeta","Chilakaluripeta","KAMMARIPALEM",2
"Chilakaluripeta","Chilakaluripeta","KATTUBADIVARIPALEM",2
"Chilakaluripeta","Chilakaluripeta","KAVURU",2
"Chilakaluripeta","Chilakaluripeta","KOMATINENIVARIPALEM",1
"Chilakaluripeta","Chilakaluripeta","KUKKAPALLIVARIPALEM",2
"Chilakaluripeta","Chilakaluripeta","LINGAMGUNTLA",3
"Chilakaluripeta","Chilakaluripeta","MADDIRALA",2
"Chilakaluripeta","Chilakaluripeta","MANUKONDAVARIPALEM",2
"Chilakaluripeta","Chilakaluripeta","MURIKIPUDI",1
"Chilakaluripeta","Chilakaluripeta","PASUMARRU",2
"Chilakaluripeta","Chilakaluripeta","POTHAVARAM",2
"Chilakaluripeta","Chilakaluripeta","RAJAPETA",3
"Chilakaluripeta","Chilakaluripeta","RAMACHANDRAPURAM",1
"Chilakaluripeta","Chilakaluripeta","Rural president",1
"Chilakaluripeta","Chilakaluripeta","SC Cell",8
"Chilakaluripeta","Chilakaluripeta","Sc Cell",6
"Chilakaluripeta","Chilakaluripeta","Supporters",36
"Chilakaluripeta","Chilakaluripeta","TATAPUDI",1
"Chilakaluripeta","Chilakaluripeta","Town President",8
"Chilakaluripeta","Chilakaluripeta","VELURU",2
"Chilakaluripeta","Edlapadu","BOYAPALEM",3
"Chilakaluripeta","Edlapadu","CHANGISKHAN PETA",2
"Chilakaluripeta","Edlapadu","DINTENAPADU",3
"Chilakaluripeta","Edlapadu","EDLAPADU",5
"Chilakaluripeta","Edlapadu","GUTTUVARI PALME",3
"Chilakaluripeta","Edlapadu","JAGGAPURAM",4
"Chilakaluripeta","Edlapadu","JALADI",3
"Chilakaluripeta","Edlapadu","KARUCHOLA",4
"Chilakaluripeta","Edlapadu","KONDAVEEDU",4
"Chilakaluripeta","Edlapadu","KONDAVEEDU KOTA",4
"Chilakaluripeta","Edlapadu","KOTHAPALEM (PUTTAKOTA)",3
"Chilakaluripeta","Edlapadu","LINGARAOPALEM",6
"Chilakaluripeta","Edlapadu","MYDAVOLU",3
"Chilakaluripeta","Edlapadu","SANDEPUDI",3
"Chilakaluripeta","Edlapadu","SOLASA",4
"Chilakaluripeta","Edlapadu","THIMMAPURAM",5
"Chilakaluripeta","Edlapadu","THURLAPADU",5
"Chilakaluripeta","Edlapadu","UNNAVA",5
"Chilakaluripeta","Edlapadu","UPPLAPALEM",3
"Chilakaluripeta","Edlapadu","VANKAYALAPADU",2
"Chilakaluripeta","Nadendla","Amin Saheb Palem",4
"Chilakaluripeta","Nadendla","Appa Puram",4
"Chilakaluripeta","Nadendla","Bukka Puram",2
"Chilakaluripeta","Nadendla","Chandavaram",3
"Chilakaluripeta","Nadendla","Chirumaamilla",5
"Chilakaluripeta","Nadendla","Endugum Palem",4
"Chilakaluripeta","Nadendla","Ganapavaram",3
"Chilakaluripeta","Nadendla","Gurijavolu",3
"Chilakaluripeta","Nadendla","Irlapaadu",3
"Chilakaluripeta","Nadendla","Jangalapalli",4
"Chilakaluripeta","Nadendla","Kanaparru",6
"Chilakaluripeta","Nadendla","Nadendla",8
"Chilakaluripeta","Nadendla","Sankuraathripaadu",5
"Chilakaluripeta","Nadendla","Sathuluru",9
"Chilakaluripeta","Nadendla","Thubaadu",6
"Gurajala","Dachepalli","Agraharam",15
"Gurajala","Dachepalli","Bhatrupalem",10
"Gurajala","Dachepalli","Dachepalli",20
"Gurajala","Dachepalli","Gamalapadu & Sankarapuram (Gamalapdu Panchyeth)",19
"Gurajala","Dachepalli","Katrapadu",15
"Gurajala","Dachepalli","Kesanupalli",15
"Gurajala","Dachepalli","Kothuru",14
"Gurajala","Dachepalli","Madinapadu",10
"Gurajala","Dachepalli","Muthyalampadu",15
"Gurajala","Dachepalli","Nadikudi",20
"Gurajala","Dachepalli","Pedagarlapadu",10
"Gurajala","Dachepalli","Pondugula - Sreenivasapuram (Pondugula Panchayerthi)",18
"Gurajala","Dachepalli","Ramapuram",18
"Gurajala","Dachepalli","Srinagar",13
"Gurajala","Dachepalli","Thakkellapd",13
"Gurajala","Dachepalli","Thangeda",10
"Gurajala","Gurajala","BUDHAVADA",2
"Gurajala","Gurajala","CHARLAGUDIPADU",3
"Gurajala","Gurajala","DAIDA",3
"Gurajala","Gurajala","GANGAVARAM",4
"Gurajala","Gurajala","GOGULAPADU",3
"Gurajala","Gurajala","GOTTEMUKKALA",3
"Gurajala","Gurajala","GURAZALA",7
"Gurajala","Gurajala","KOTHA AMBAPURAM",1
"Gurajala","Gurajala","MADUGULA",7
"Gurajala","Gurajala","PALLEGUNTHA",3
"Gurajala","Gurajala","PATHA AMBAPURAM",2
"Gurajala","Gurajala","PULIPADU",10
"Gurajala","Gurajala","SAMADHANAM PETA",3
"Gurajala","Gurajala","THELUKUTLA",3
"Gurajala","Machavaram","కేజీ పాడు",2
"Gurajala","Machavaram","కొత్తపాలెం",5
"Gurajala","Machavaram","గంగిరెడ్డిపాలెం",2
"Gurajala","Machavaram","గోవిందాపురం",1
"Gurajala","Machavaram","చెన్నై పాలెం",2
"Gurajala","Machavaram","జనసేన పార్టీ",2
"Gurajala","Machavaram","తురకపాలెం",2
"Gurajala","Machavaram","పిన్నెల్లి",3
"Gurajala","Machavaram","పిల్లుట్ల",3
"Gurajala","Machavaram","భారతీయ జనతా పార్టీ",2
"Gurajala","Machavaram","మల్లవోలు",2
"Gurajala","Machavaram","మాచవరం",10
"Gurajala","Machavaram","మొర్జంపాడు",5
"Gurajala","Machavaram","వేమవరం",2
"Gurajala","Machavaram","శ్రీ రుక్మిణ పురం",2
"Gurajala","Piduguralla","Ayyapa nagar",5
"Gurajala","Piduguralla","Brahmanapalli",13
"Gurajala","Piduguralla","Chennai palem",5
"Gurajala","Piduguralla","Chinna Aghram",3
"Gurajala","Piduguralla","Gutthikonda",18
"Gurajala","Piduguralla","Janapadu",37
"Gurajala","Piduguralla","Jullakallu",14
"Gurajala","Piduguralla","Kamepalli",5
"Gurajala","Piduguralla","Karalapadu",12
"Gurajala","Piduguralla","Konaki",1
"Gurajala","Piduguralla","Konanki",11
"Gurajala","Piduguralla","New Vellampalli",3
"Gurajala","Piduguralla","Panditivaripalem",6
"Gurajala","Piduguralla","Patha Ganesunipadu",8
"Gurajala","Piduguralla","Pedda Aghram",5
"Gurajala","Piduguralla","Pidugurala Town",235
"Gurajala","Piduguralla","Thummalacheruvu",17
"Gurajala","Piduguralla","Veerapuram",10
"Gurajala","Piduguralla","brahmanaplli",1
"Gurajala","Piduguralla","janapadu",1
"Gurajala","Thummalacheruvu","Thummalacheruvu",1
"Gurajala","Veerapuram","Veerapuram",1
"Macharla","Durgi","AATMAKURU",1
"Macharla","Durgi","ADIGOPPALA",4
"Macharla","Durgi","DARMAVARAM",3
"Macharla","Durgi","DURGI",5
"Macharla","Durgi","Durgi",3
"Macharla","Durgi","GAJAPURAM",1
"Macharla","Durgi","JANGA MAHESWARAPADU",1
"Macharla","Durgi","KANCHARAGUNTA",2
"Macharla","Durgi","KOLAGUTLA",3
"Macharla","Durgi","LAKSHMIPURAM TANDA",1
"Macharla","Durgi","MANGAPURAM TANDA",1
"Macharla","Durgi","MUTUKURU",4
"Macharla","Durgi","NEHRUNAGAR TANDA",1
"Macharla","Durgi","NIDANAMPADU,RAJANAGAR",3
"Macharla","Durgi","OBULESHPALLI",4
"Macharla","Durgi","POLEPALLI",4
"Macharla","Durgi","SHYAMA RAJA PURAM",1
"Macharla","Durgi","Shyma rajapuram",1
"Macharla","Durgi","TERALA",1
"Macharla","Karempudi","Brhmanaidu colony",3
"Macharla","Karempudi","Karampudi town",12
"Macharla","Karempudi","Vyapakampalli",7
"Macharla","Karempudi","battuvaripalli",9
"Macharla","Karempudi","china garlapadu",18
"Macharla","Karempudi","china kodamalla",14
"Macharla","Karempudi","chinthapalli",20
"Macharla","Karempudi","gajuvaripalli",6
"Macharla","Karempudi","imparajupalli",19
"Macharla","Karempudi","kachavaram",17
"Macharla","Karempudi","kakanivari palem",2
"Macharla","Karempudi","lakshmipuram",1
"Macharla","Karempudi","miryala",22
"Macharla","Karempudi","naramala padu",8
"Macharla","Karempudi","oppicharla",13
"Macharla","Karempudi","pedakodamgolla",3
"Macharla","Karempudi","petasanigalla",18
"Macharla","Karempudi","reddypalem",1
"Macharla","Rentachintala","Goli",1
"Macharla","Rentachintala","Jettipalem",2
"Macharla","Rentachintala","Mallavaram",1
"Macharla","Rentachintala","Manchikallu",2
"Macharla","Rentachintala","Mittagudipadu",1
"Macharla","Rentachintala","Palvayi",2
"Macharla","Rentachintala","Palvayi Gate",2
"Macharla","Rentachintala","Pasarlapadu",2
"Macharla","Rentachintala","Rentachintala Town",10
"Macharla","Rentachintala","Thummakota",2
"Narasaraopet","Narasaraopet","ACHAMPALEM",2
"Narasaraopet","Narasaraopet","ALLURIVARI PALEM",5
"Narasaraopet","Narasaraopet","ARAVAPALLI",6
"Narasaraopet","Narasaraopet","CHINA TURAKAPALEM",5
"Narasaraopet","Narasaraopet","CHINTALAPALEM",5
"Narasaraopet","Narasaraopet","DONDAPADU",8
"Narasaraopet","Narasaraopet","GONEPUDI",7
"Narasaraopet","Narasaraopet","GURAVAYAPALEM",5
